freq;unit;sex;age;reason;geo\TIME_PERIOD,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 
A;PC_SAL;F;Y15-74;INEDUC;UK,0.4 b,0.4 ,0.5 b,0.3 b,0.3 ,0.3 ,0.3 ,0.4 ,0.4 ,0.5 ,0.5 ,0.4 ,0.5 ,0.5 ,0.4 
A;PC_SAL;F;Y15-74;INVTMP;AT,: ,1.3 ,1.6 ,1.3 ,1.2 ,0.9 ,0.9 ,0.9 ,0.9 ,0.9 ,1.0 ,1.0 ,1.1 ,1.0 ,1.0 
A;PC_SAL;F;Y15-74;INVTMP;BE,8.3 b,7.3 ,7.1 ,5.9 ,5.7 ,7.3 ,7.8 ,7.2 ,7.1 ,7.4 ,7.8 ,7.8 ,7.8 b,7.3 ,7.3 
A;PC_SAL;F;Y15-74;INVTMP;BG,3.7 b,3.5 ,3.1 ,2.0 b,2.4 ,2.5 b,2.4 b,2.6 ,3.0 ,3.3 ,2.7 ,2.3 ,2.8 ,2.1 ,2.7 
A;PC_SAL;F;Y15-74;INVTMP;CY,18.2 b,17.6 ,17.4 ,18.5 ,19.1 b,19.8 ,20.0 ,20.3 ,23.2 ,23.2 ,21.7 ,19.5 ,17.2 ,15.8 ,17.1 
A;PC_SAL;F;Y15-74;INVTMP;CZ,6.3 b,6.5 ,5.9 ,6.1 ,6.3 ,7.2 ,7.2 b,8.3 ,8.2 ,8.2 ,9.2 ,8.7 ,8.9 ,6.3 ,5.7 
A;PC_SAL;F;Y15-74;INVTMP;DE,2.4 b,2.7 b,2.9 ,2.6 ,2.3 ,2.7 b,2.6 ,2.2 b,2.0 ,1.9 ,1.8 ,2.0 ,2.0 ,1.8 ,1.5 
A;PC_SAL;F;Y15-74;INVTMP;DK,6.3 b,5.6 ,4.5 ,4.3 b,4.5 ,4.4 ,4.6 ,5.1 ,5.1 ,5.2 ,4.1 ,5.7 b,5.7 b,4.8 ,4.6 
A;PC_SAL;F;Y15-74;INVTMP;EE,0.8 bu,0.8 u,: u,: u,0.6 u,0.7 u,0.8 u,0.8 u,0.7 u,0.7 u,0.6 u,0.5 u,: u,0.4 u,: u
A;PC_SAL;F;Y15-74;INVTMP;EL,10.6 b,9.4 ,9.6 ,9.9 ,10.2 b,10.8 ,10.0 ,9.0 ,8.4 ,8.7 ,8.4 ,9.0 ,9.9 ,10.1 ,10.4 
A;PC_SAL;F;Y15-74;INVTMP;ES,: ,24.0 b,21.4 ,22.1 ,20.5 b,21.1 ,21.9 ,21.6 ,20.5 ,20.6 ,21.8 ,22.9 ,22.7 ,22.2 ,21.8 
A;PC_SAL;F;Y15-74;INVTMP;FI,15.2 b,14.7 ,13.6 b,12.0 ,12.5 ,12.4 ,11.8 ,12.1 ,11.9 ,12.8 ,13.0 ,13.3 ,13.7 ,13.9 ,12.3 
A;PC_SAL;F;Y15-74;INVTMP;FR,8.7 b,9.3 b,9.6 ,9.6 ,9.2 ,9.7 ,9.5 ,9.4 ,9.9 ,9.7 b,9.9 ,10.2 ,10.6 ,10.0 ,9.4 
A;PC_SAL;F;Y15-74;INVTMP;HR,7.0 b,6.8 ,7.1 ,6.4 ,6.7 ,6.6 ,6.7 ,6.9 ,7.0 ,7.8 b,8.4 ,17.5 ,17.5 ,17.8 ,16.1 
A;PC_SAL;F;Y15-74;INVTMP;HU,3.0 b,3.5 ,4.1 ,4.2 ,4.9 ,6.3 ,5.4 ,5.9 ,7.4 ,7.5 ,8.5 ,8.2 ,7.4 ,5.7 ,5.1 
A;PC_SAL;F;Y15-74;INVTMP;IE,0.6 b,1.1 ,1.4 b,1.6 ,2.1 ,2.8 ,3.0 ,4.9 ,4.9 ,4.7 ,4.2 ,4.2 ,3.5 b,2.9 ,2.4 
A;PC_SAL;F;Y15-74;INVTMP;IT,9.9 b,10.6 ,11.1 ,10.7 ,10.3 ,10.2 ,10.7 ,10.9 ,10.7 ,10.5 ,11.0 ,11.0 ,11.9 ,14.3 ,14.0 
A;PC_SAL;F;Y15-74;INVTMP;LT,2.5 bu,1.9 u,1.7 u,1.0 u,1.2 u,1.2 u,1.1 u,1.4 ,1.2 ,1.0 ,1.0 ,1.0 ,0.7 ,0.6 u,0.5 u
A;PC_SAL;F;Y15-74;INVTMP;LU,3.2 b,3.1 ,3.0 b,3.2 ,3.9 b,3.0 ,3.7 ,3.9 ,4.3 ,4.8 ,4.4 b,4.8 ,5.2 ,5.9 ,: u
A;PC_SAL;F;Y15-74;INVTMP;LV,2.0 b,3.6 ,1.5 ,1.1 ,2.2 ,3.9 ,4.1 ,2.2 ,2.3 ,1.7 ,1.5 ,1.5 ,0.8 ,1.4 ,1.5 
A;PC_SAL;F;Y15-74;INVTMP;MT,2.8 b,2.7 ,3.6 ,3.1 ,3.8 ,3.7 ,4.2 ,4.2 ,5.2 ,6.1 ,5.1 ,3.6 ,3.2 ,3.5 ,2.6 
A;PC_SAL;F;Y15-74;INVTMP;NL,4.4 b,5.0 b,4.8 ,4.8 ,5.4 ,4.1 ,4.4 ,4.9 ,6.2 ,7.2 ,8.1 ,7.4 ,6.8 ,6.0 ,5.5 
A;PC_SAL;F;Y15-74;INVTMP;PL,11.7 b,19.3 ,19.8 ,19.3 ,19.0 ,19.6 b,15.9 b,16.6 ,17.2 ,18.2 ,17.5 ,17.1 ,15.5 ,13.0 ,10.2 
