LETO,DRŽAVA,SPOL,VREDNOST
2016,Francija,moški,7.4
2016,Hrvaška,moški,4.3
2016,Italija,moški,8.1
2016,Ciper,moški,11.2
2016,Latvija,moški,5.9
2016,Litva,moški,5.3
2016,Luksemburg,moški,5.9
2016,Madžarska,moški,3.1
2016,Malta,moški,5.3
2016,Nizozemska,moški,22.1
2016,Avstrija,moški,10.5
2016,Poljska,moški,3.5
2016,Portugalska,moški,6.6
2016,Romunija,moški,7
2016,Slovenija,moški,5.5
2016,Slovaška,moški,4
2016,Finska,moški,8.9
2016,Švedska,moški,11.9
2016,Velika Britanija,moški,9.8
2017,Belgija,moški,9.8
2017,Bolgarija,moški,2
2017,Češka,moški,2.3
2017,Danska,moški,12.1
2017,Nemčija,moški,9.3
2017,Estonija,moški,5.8
2017,Irska,moški,9.4
2017,Grčija,moški,6.5
2017,Španija,moški,6.9
2017,Francija,moški,7.5
2017,Hrvaška,moški,3.8
2017,Italija,moški,8.2
2017,Ciper,moški,8.9
2017,Latvija,moški,4.6
2017,Litva,moški,5.5
2017,Luksemburg,moški,5.7
2017,Madžarska,moški,2.6
2017,Malta,moški,5.6
2017,Nizozemska,moški,22.6
2017,Avstrija,moški,10.5
2017,Poljska,moški,3.5
2017,Portugalska,moški,5.8
2017,Romunija,moški,6.4
2017,Slovenija,moški,6
2017,Slovaška,moški,3.9
2017,Finska,moški,8.7
2017,Švedska,moški,11.9
2017,Velika Britanija,moški,9.6
2018,Belgija,moški,9.4
2018,Bolgarija,moški,1.6
2018,Češka,moški,2.5
2018,Danska,moški,11.4
2018,Nemčija,moški,9.3
2018,Estonija,moški,6.8
2018,Irska,moški,9.1
2018,Grčija,moški,6
2018,Španija,moški,6.4
2018,Francija,moški,7.6
2018,Hrvaška,moški,3.5
2018,Italija,moški,7.9
2018,Ciper,moški,7.4
2018,Latvija,moški,4.5
2018,Litva,moški,5.1
2018,Luksemburg,moški,5.4
2018,Madžarska,moški,2.5
2018,Malta,moški,6
2018,Nizozemska,moški,23
2018,Avstrija,moški,9.9
2018,Poljska,moški,3.6
2018,Portugalska,moški,5.4
2018,Romunija,moški,6
2018,Slovenija,moški,5.3
2018,Slovaška,moški,3.1
2018,Finska,moški,8.8
2018,Švedska,moški,11.7
2018,Velika Britanija,moški,9.6
2019,Belgija,moški,9.7
2019,Bolgarija,moški,1.6
2019,Češka,moški,2.7
2019,Danska,moški,12.2
2019,Nemčija,moški,9.5
2019,Estonija,moški,6.9
2019,Irska,moški,8.7
2019,Grčija,moški,5.8
2019,Španija,moški,6.5
2019,Francija,moški,7.4
2019,Hrvaška,moški,3.1
2019,Italija,moški,8.1
2019,Ciper,moški,6.1
2019,Latvija,moški,5.3
2019,Litva,moški,4.6
2019,Luksemburg,moški,5.1
2019,Madžarska,moški,2.4
2019,Malta,moški,5.5
2019,Nizozemska,moški,23.3
2019,Avstrija,moški,9.4
2019,Poljska,moški,3.3
2019,Portugalska,moški,5.1
2019,Romunija,moški,5.7
2019,Slovenija,moški,4.5
2019,Slovaška,moški,2.9
2019,Finska,moški,8.8
2019,Švedska,moški,12
2019,Velika Britanija,moški,9.4
2011,Belgija,ženske,43
2011,Bolgarija,ženske,2.4
2011,Češka,ženske,8.4
2011,Danska,ženske,32.8
2011,Nemčija,ženske,45.9
2011,Estonija,ženske,13.5
2011,Irska,ženske,33.7
2011,Grčija,ženske,10
2011,Španija,ženske,22.6
2011,Francija,ženske,29.9
2011,Hrvaška,ženske,9
2011,Italija,ženske,29.1
2011,Ciper,ženske,11.8
2011,Latvija,ženske,10.2
2011,Litva,ženske,9.8
2011,Luksemburg,ženske,35.8
2011,Madžarska,ženske,8.7
2011,Malta,ženske,24.5
2011,Nizozemska,ženske,75.1
2011,Avstrija,ženske,44.6
2011,Poljska,ženske,10.3
2011,Portugalska,ženske,13.5
2011,Romunija,ženske,10
2011,Slovenija,ženske,11.4
2011,Slovaška,ženske,5.6
2011,Finska,ženske,17.5
2011,Švedska,ženske,38
2011,Velika Britanija,ženske,40.8
2012,Belgija,ženske,43.3
2012,Bolgarija,ženske,2.5
2012,Češka,ženske,8.5
2012,Danska,ženske,31.6
2012,Nemčija,ženske,45.7
2012,Estonija,ženske,13.1
2012,Irska,ženske,33.5
2012,Grčija,ženske,11.7
2012,Španija,ženske,23.7
2012,Francija,ženske,29.9
2012,Hrvaška,ženske,6.9
2012,Italija,ženske,30.8
2012,Ciper,ženske,12.8
2012,Latvija,ženske,10.9
2012,Litva,ženske,10.6
2012,Luksemburg,ženske,35.9
2012,Madžarska,ženske,9.4
2012,Malta,ženske,24.6
2012,Nizozemska,ženske,75.5
2012,Avstrija,ženske,45.6
2012,Poljska,ženske,10.3
2012,Portugalska,ženske,14
2012,Romunija,ženske,9.6
2012,Slovenija,ženske,11.8
2012,Slovaška,ženske,5.4
2012,Finska,ženske,17.6
2012,Švedska,ženske,37.2
2012,Velika Britanija,ženske,41
2013,Belgija,ženske,42.3
2013,Bolgarija,ženske,3
2013,Češka,ženske,10
2013,Danska,ženske,31.5
2013,Nemčija,ženske,47.1
2013,Estonija,ženske,12.2
2013,Irska,ženske,33.6
2013,Grčija,ženske,12.5
2013,Španija,ženske,25
2013,Francija,ženske,30.3
2013,Hrvaška,ženske,6.3
2013,Italija,ženske,31.6
2013,Ciper,ženske,15.4
2013,Latvija,ženske,9.3
2013,Litva,ženske,10.1
2013,Luksemburg,ženske,35.8
2013,Madžarska,ženske,9
2013,Malta,ženske,25.2
2013,Nizozemska,ženske,75.6
2013,Avstrija,ženske,46
2013,Poljska,ženske,10.2
2013,Portugalska,ženske,13.7
2013,Romunija,ženske,9.3
2013,Slovenija,ženske,12
2013,Slovaška,ženske,6
2013,Finska,ženske,17.6
2013,Švedska,ženske,36.3
2013,Velika Britanija,ženske,40.3
2014,Belgija,ženske,41
2014,Bolgarija,ženske,2.7
2014,Češka,ženske,9.4
2014,Danska,ženske,30.9
2014,Nemčija,ženske,46.7
2014,Estonija,ženske,10.9
2014,Irska,ženske,32.4
2014,Grčija,ženske,12.9
